"","V1"
"430",1116.7199707031
"431",1175.8299560547
"432",1221.3800048828
"433",1231.9200439453
"434",1240
"435",1249.6099853516
"436",1187.8100585938
"437",1100.2299804688
"438",973.8179931641
"439",1036.7399902344
"440",1054.2299804688
"441",1120.5400390625
"442",1049.1400146484
"443",1038.5899658203
"444",937.5200195313
"445",972.7789916992
"446",966.7249755859
"447",1045.7700195313
"448",1047.1500244141
"449",1039.9699707031
"450",1026.4300537109
"451",1071.7900390625
"452",1080.5
"453",1102.1700439453
"454",1143.8100585938
"455",1133.25
"456",1124.7800292969
"457",1182.6800537109
"458",1176.9000244141
"459",1175.9499511719
"460",1187.8699951172
"461",1187.1300048828
"462",1205.0100097656
"463",1200.3699951172
"464",1169.2800292969
"465",1167.5400390625
"466",1172.5200195313
"467",1182.9399414063
"468",1193.9100341797
"469",1211.6700439453
"470",1210.2900390625
"471",1229.0799560547
"472",1222.0500488281
"473",1231.7099609375
"474",1207.2099609375
"475",1250.1500244141
"476",1265.4899902344
"477",1281.0799560547
"478",1317.7299804688
"479",1316.4799804688
"480",1321.7900390625
"481",1347.8900146484
"482",1421.5999755859
"483",1452.8199462891
"484",1490.0899658203
"485",1537.6700439453
"486",1555.4499511719
"487",1578.8000488281
"488",1596.7099609375
"489",1723.3499755859
"490",1755.3599853516
"491",1787.1300048828
"492",1848.5699462891
"493",1724.2399902344
"494",1804.9100341797
"495",1808.9100341797
"496",1738.4300537109
"497",1734.4499511719
"498",1839.0899658203
"499",1888.6500244141
"500",1987.7099609375
"501",2084.7299804688
"502",2041.1999511719
"503",2173.3999023438
"504",2320.419921875
"505",2443.6398925781
"506",2304.9799804688
"507",2202.419921875
"508",2038.8699951172
"509",2155.8000488281
"510",2255.6101074219
"511",2175.4699707031
"512",2286.4099121094
"513",2407.8798828125
"514",2488.5500488281
"515",2515.3500976563
"516",2511.8100585938
"517",2686.8100585938
"518",2863.1999511719
"519",2732.1599121094
"520",2805.6201171875
"521",2823.8100585938
"522",2947.7099609375
"523",2958.1101074219
"524",2659.6298828125
"525",2717.0200195313
"526",2506.3701171875
"527",2464.580078125
"528",2518.5600585938
"529",2655.8798828125
"530",2548.2900390625
"531",2589.6000976563
"532",2721.7900390625
"533",2689.1000976563
"534",2705.4099121094
"535",2744.9099121094
"536",2608.7199707031
"537",2589.4099121094
"538",2478.4499511719
"539",2552.4499511719
"540",2574.7900390625
"541",2539.3200683594
"542",2480.8400878906
"543",2434.5500488281
"544",2506.4699707031
"545",2564.0600585938
"546",2601.6398925781
"547",2601.9899902344
"548",2608.5600585938
"549",2518.6599121094
"550",2571.3400878906
"551",2518.4399414063
"552",2372.5600585938
"553",2337.7900390625
"554",2398.8400878906
"555",2357.8999023438
